Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-A07952294-001-02-3	BRD-A07952294	"L-744,832"	Biomol International Inc.									
BRD-A08187463-001-03-8	BRD-A08187463	Racecadotril	Prestwick Chemical Inc.									
BRD-A08255417-001-03-0	BRD-A08255417	Famprofazone	Prestwick Chemical Inc.									
BRD-A08709697-001-02-9	BRD-A08709697	Heliotrine	Prestwick Chemical Inc.									
BRD-A08786049-001-01-4	BRD-A08786049	CRINAMINE	MicroSource Discovery Systems Inc.									
BRD-A09056319-001-02-2	BRD-A09056319	ALFLUZOCIN	MicroSource Discovery Systems Inc.									
BRD-A09056319-003-03-6	BRD-A09056319	Alfuzosin hydrochloride	Prestwick Chemical Inc.									
BRD-A09062839-003-03-5	BRD-A09062839	Amyleine hydrochloride	Prestwick Chemical Inc.									
BRD-A09467419-003-04-2	BRD-A09467419	Mebeverine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8133 (smooth muscle relaxant)			
BRD-A09472452-001-02-8	BRD-A09472452	FLECAINIDE	Biomol International Inc.	yes			GO:0005272 (inhibits sodium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-A09472452-015-03-6	BRD-A09472452	Flecainide acetate	Prestwick Chemical Inc.	yes			GO:0005272 (inhibits sodium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-A09533288-001-02-7	BRD-A09533288	VERAPAMIL	Biomol International Inc.	yes	CBPROTID:1000216 (inhibits Voltage-dependent L-type calcium channel)	GeneID:8913 (inhibits CACNA1G)	GO:0006816 (inhibits calcium ion transport);GO:0008332 (inhibits low voltage-gated calcium channel activity)	"MeSH:D000787 (Angina Pectoris);MeSH:D006973 (Hypertension);""MeSH:D017180 (Tachycardia, Ventricular)"""	UseClass:8090 (anti-arrhythmic);UseClass:8091 (anti-hypertensive);UseClass:8092 (vasodilator)			
BRD-A09533288-003-05-6	BRD-A09533288	Verapamyl hydrochloride	Prestwick Chemical Inc.	yes	CBPROTID:1000216 (inhibits Voltage-dependent L-type calcium channel)	GeneID:8913 (inhibits CACNA1G)	GO:0006816 (inhibits calcium ion transport);GO:0008332 (inhibits low voltage-gated calcium channel activity)	"MeSH:D000787 (Angina Pectoris);MeSH:D006973 (Hypertension);""MeSH:D017180 (Tachycardia, Ventricular)"""	UseClass:8090 (anti-arrhythmic);UseClass:8091 (anti-hypertensive);UseClass:8092 (vasodilator)			
BRD-A09539288-004-02-8	BRD-A09539288	HOMATROPINE BROMIDE	MicroSource Discovery Systems Inc.									
BRD-A09925278-003-03-1	BRD-A09925278	Etilefrine hydrochloride	Prestwick Chemical Inc.									
BRD-A09975616-001-02-3	BRD-A09975616	N-FORMYLMETHIONYLPHENYLALANINE	MicroSource Discovery Systems Inc.									
BRD-A10420615-001-02-8	BRD-A10420615	CYCLOPIAZONIC ACID	Biomol International Inc.									
BRD-A10715913-001-02-0	BRD-A10715913	SULPIRIDE	MicroSource Discovery Systems Inc.									
BRD-A10977446-045-01-1	BRD-A10977446	CARVEDILOL TARTRATE	MicroSource Discovery Systems Inc.									
BRD-A11154023-001-02-8	BRD-A11154023	SUPROFEN METHYL ESTER	MicroSource Discovery Systems Inc.									
BRD-A11605036-001-03-2	BRD-A11605036	Thiocolchicoside	Prestwick Chemical Inc.									
BRD-A11776908-001-03-6	BRD-A11776908	Enilconazole	Prestwick Chemical Inc.									
BRD-A11813248-001-02-8	BRD-A11813248	AM 92016	Biomol International Inc.	yes			GO:0006813 (inhibits potassium ion transport)					
BRD-A12016240-001-01-7	BRD-A12016240	"LY-278,584"	Biomol International Inc.									
BRD-A12372458-001-02-9	BRD-A12372458	"1,7-DIDEACETOXY-1,7-DIOXO-3-DEACETYLKHIVORIN"	MicroSource Discovery Systems Inc.									
BRD-A13133631-001-02-4	BRD-A13133631	FLUOROMETHOLONE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A13416979-001-02-3	BRD-A13416979	brefeldin A	Biomol International Inc.									
BRD-A13650332-236-03-9	BRD-A13650332	Flucloxacillin sodium	Prestwick Chemical Inc.									
BRD-A13946108-001-04-9	BRD-A13946108	Sulindac	Prestwick Chemical Inc.	yes		GeneID:5138 (inhibits PDE2A)		MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)			
BRD-A14098586-001-02-3	BRD-A14098586	3alpha-ACETOXYDIHYDRODEOXYGEDUNIN	MicroSource Discovery Systems Inc.									
BRD-A14344385-001-01-6	BRD-A14344385	"7-CHLORO-3-METHYL-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-S,S-DIOXIDE"	Biomol International Inc.	yes			GO:0004970 (activates ionotropic glutamate receptor activity)					
BRD-A14395271-001-01-5	BRD-A14395271	MESORIDAZINE	Biomol International Inc.									
BRD-A14395271-074-03-8	BRD-A14395271	Mesoridazine besylate	Prestwick Chemical Inc.									
BRD-A15297126-001-02-7	BRD-A15297126	FLUOCINONIDE	MicroSource Discovery Systems Inc.									
BRD-A15454510-001-02-8	BRD-A15454510	6-HYDROXYANGOLENSIC ACID METHYL ESTER	MicroSource Discovery Systems Inc.									
BRD-A15909516-001-02-5	BRD-A15909516	REBAMIPIDE	MicroSource Discovery Systems Inc.									
BRD-A16332958-001-02-4	BRD-A16332958	MODAFINIL	MicroSource Discovery Systems Inc.	yes				MeSH:D009290 (Narcolepsy)	UseClass:8113 (cns agent)			
BRD-A16665823-008-03-3	BRD-A16665823	Butoconazole nitrate	Prestwick Chemical Inc.									
BRD-A17120244-001-02-6	BRD-A17120244	"8beta-HYDROXYCARAPIN, 3,8-HEMIACETAL"	MicroSource Discovery Systems Inc.									
BRD-A17453586-001-01-9	BRD-A17453586	MDL 72832	Biomol International Inc.									
BRD-A17462676-003-03-3	BRD-A17462676	Bambuterol hydrochloride	Prestwick Chemical Inc.									
BRD-A17470778-001-02-9	BRD-A17470778	QUINIDINE	Biomol International Inc.									
BRD-A17500982-001-02-5	BRD-A17500982	ANDIROBIN	MicroSource Discovery Systems Inc.									
BRD-A17535965-001-02-2	BRD-A17535965	Gelsemine	Prestwick Chemical Inc.									
BRD-A17655518-001-02-0	BRD-A17655518	IBUPROFEN	MicroSource Discovery Systems Inc.									
BRD-A17819071-001-02-1	BRD-A17819071	DEACETOXY-7-OXISOGEDUNIN	MicroSource Discovery Systems Inc.									
BRD-A17846016-001-03-0	BRD-A17846016	Trolox	Prestwick Chemical Inc.									
BRD-A18043272-001-03-2	BRD-A18043272	Phensuximide	Prestwick Chemical Inc.									
BRD-A18497530-001-04-6	BRD-A18497530	5-iodotubercidin	Biomol International Inc.									
BRD-A18579359-001-03-1	BRD-A18579359	Wiskostatin	Biomol International Inc.									
BRD-A18620900-001-02-9	BRD-A18620900	ESTRIOL	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)			
BRD-A18795974-001-01-2	BRD-A18795974	7-HYDROXY-DPAT	Biomol International Inc.									
BRD-A18917088-001-02-3	BRD-A18917088	ESTRADIOL	MicroSource Discovery Systems Inc.									
BRD-A19053259-003-03-3	BRD-A19053259	Pseudopelletierine hydrochloride	Prestwick Chemical Inc.									
BRD-A19134330-001-03-8	BRD-A19134330	A-23187	Biomol International Inc.	yes				MeSH:D016905 (Gram-Negative Bacterial Infections);MeSH:D016908 (Gram-Positive Bacterial Infections);MeSH:D007239 (Infection)	UseClass:8104 (anti-bacterial);UseClass:8103 (anti-infective agent)			
BRD-A19195498-050-05-9	BRD-A19195498	Trimipramine maleate salt	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)			
BRD-A19527356-001-02-4	BRD-A19527356	CHELIDONINE (+)	MicroSource Discovery Systems Inc.									
BRD-A19661776-003-05-2	BRD-A19661776	Mianserine hydrochloride	Prestwick Chemical Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)			MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8072 (anti-histamine)			
BRD-A19736161-001-01-8	BRD-A19736161	Ondansetron	Biomol International Inc.									
BRD-A19736161-003-03-0	BRD-A19736161	Ondansetron Hydrochloride	Prestwick Chemical Inc.									
BRD-A19795905-001-02-3	BRD-A19795905	ATOVAQUONE	MicroSource Discovery Systems Inc.	yes			GO:0008121 (inhibits ubiquinol-cytochrome-c reductase activity)	"MeSH:D008288 (Malaria);""MeSH:D011020 (Pneumonia, Pneumocystis)"""	UseClass:8108 (anti-protozoal)			
BRD-A19918940-001-03-6	BRD-A19918940	LOMATIN	MicroSource Discovery Systems Inc.									
BRD-A20126139-001-02-6	BRD-A20126139	MEDRYSONE	MicroSource Discovery Systems Inc.	yes				MeSH:D005128 (Eye Diseases);MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A20182314-001-02-6	BRD-A20182314	3-DEOXO-3beta-ACETOXYDEOXYDIHYDROGEDUNIN	MicroSource Discovery Systems Inc.									
BRD-A20200672-001-02-2	BRD-A20200672	ENOXOLONE	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D003371 (Cough)	UseClass:8104 (anti-bacterial);UseClass:8085 (anti-tussive)			
BRD-A20239487-001-02-5	BRD-A20239487	ATENOLOL	MicroSource Discovery Systems Inc.	yes		GeneID:153 (inhibits ADRB1)	GO:0004939 (inhibits beta-adrenergic receptor activity)	"MeSH:D000787 (Angina Pectoris);""MeSH:D001145 (Arrhythmias, Cardiac)"";MeSH:D006973 (Hypertension)"	UseClass:8095 (anti-anginal);UseClass:8090 (anti-arrhythmic);UseClass:8091 (anti-hypertensive)			
BRD-A20348246-001-05-9	BRD-A20348246	CHLORMEZANONE	Biomol International Inc.	yes					UseClass:8117 (tranquilizer)			
BRD-A20368188-001-02-4	BRD-A20368188	"DEOXYSAPPANONE B 7,3'-DIMETHYL ETHER ACETATE"	MicroSource Discovery Systems Inc.									
BRD-A21858158-001-05-2	BRD-A21858158	Praziquantel	Prestwick Chemical Inc.									
BRD-A22032524-074-02-4	BRD-A22032524	AMLODIPINE BESYLATE	MicroSource Discovery Systems Inc.									
BRD-A22081593-001-04-6	BRD-A22081593	Sulmazole	Prestwick Chemical Inc.									
BRD-A22106989-001-01-9	BRD-A22106989	PHENOTHRIN	MicroSource Discovery Systems Inc.	yes					UseClass:8107 (anti-parasitic)			
BRD-A22143024-231-01-2	BRD-A22143024	ESTROPIPATE	MicroSource Discovery Systems Inc.									
BRD-A22256192-003-03-7	BRD-A22256192	Terazosin hydrochloride	Prestwick Chemical Inc.									
BRD-A22267103-003-05-7	BRD-A22267103	Drofenine hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A22305049-003-05-2	BRD-A22305049	Benfluorex hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3643 (inhibits INSR)			UseClass:8098 (anti-hyperlipidproteinemic)			
BRD-A22380646-001-01-5	BRD-A22380646	PANTOPRAZOLE	MicroSource Discovery Systems Inc.	yes		GeneID:495 (inhibits ATP4A)		MeSH:D004941 (Esophagitis)	UseClass:8125 (gastrointestinal agent)			
BRD-A22684332-003-02-3	BRD-A22684332	PROCATEROL HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-A22769835-300-03-2	BRD-A22769835	Homochlorcyclizine dihydrochloride	Prestwick Chemical Inc.									
BRD-A22844106-001-05-4	BRD-A22844106	Tenoxicam	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-A23034328-003-03-4	BRD-A23034328	Clindamycin hydrochloride	Prestwick Chemical Inc.									
BRD-A23072235-050-05-2	BRD-A23072235	Pheniramine maleate	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)			
BRD-A23226398-001-02-7	BRD-A23226398	ESTRADIOL ACETATE	MicroSource Discovery Systems Inc.									
BRD-A23801136-001-02-4	BRD-A23801136	Rifabutin	Prestwick Chemical Inc.									
BRD-A23970436-236-02-6	BRD-A23970436	THIAMYLAL SODIUM	MicroSource Discovery Systems Inc.	yes					UseClass:8082 (anesthetic)			
BRD-A24122750-001-01-1	BRD-A24122750	SACLOFEN	Biomol International Inc.									
BRD-A24191444-045-03-1	BRD-A24191444	Ifenprodil tartrate	Prestwick Chemical Inc.									
BRD-A24228527-001-05-9	BRD-A24228527	Ofloxacin	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D016905 (Gram-Negative Bacterial Infections);MeSH:D016908 (Gram-Positive Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-A24436948-001-02-6	BRD-A24436948	"DESACETYL (7)KHIVORINIC ACID, METHYL ESTER"	MicroSource Discovery Systems Inc.									
BRD-A24514565-001-02-2	BRD-A24514565	WARFARIN	MicroSource Discovery Systems Inc.									
BRD-A24587114-066-03-5	BRD-A24587114	Isoetharine mesylate salt	Prestwick Chemical Inc.									
BRD-A24817035-001-05-4	BRD-A24817035	"Laudanosine (R,S)"	Prestwick Chemical Inc.	yes		GeneID:1135 (inhibits CHRNA2);GeneID:1139 (inhibits CHRNA7);GeneID:1141 (inhibits CHRNB2)						
BRD-A25234499-001-05-0	BRD-A25234499	"Glutethimide, para-amino"	Prestwick Chemical Inc.	yes			"GO:0016712 (inhibits oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)"	MeSH:D001943 (Breast Neoplasms);MeSH:D004487 (Edema);MeSH:D006929 (Hyperaldosteronism)				
BRD-A25408073-001-02-1	BRD-A25408073	DEACETOXY-7-OXOGEDUNIN	MicroSource Discovery Systems Inc.									
BRD-A25537246-001-02-9	BRD-A25537246	FENBUTYRAMIDE	MicroSource Discovery Systems Inc.									
BRD-A25706161-001-02-1	BRD-A25706161	ANISODAMINE	MicroSource Discovery Systems Inc.									
BRD-A25875308-001-02-8	BRD-A25875308	Protoveratrine A	Prestwick Chemical Inc.									
BRD-A26095496-001-02-4	BRD-A26095496	CLOBETASOL PROPIONATE	MicroSource Discovery Systems Inc.	yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)			
BRD-A26384407-001-05-3	BRD-A26384407	Chlorthalidone	Prestwick Chemical Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)			
BRD-A26711594-001-02-7	BRD-A26711594	NICARDIPINE	Biomol International Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)			
BRD-A26711594-003-05-6	BRD-A26711594	Nicardipine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)			
BRD-A26787626-001-02-9	BRD-A26787626	CYCLOPIAZONIC ACID	MicroSource Discovery Systems Inc.	yes			GO:0006816 (activates calcium ion transport)					
BRD-A27080191-065-02-8	BRD-A27080191	"18-AMINOABIETA-8,11,13-TRIENE SULFATE"	MicroSource Discovery Systems Inc.									
BRD-A27666114-001-02-3	BRD-A27666114	PARTHENOLIDE	MicroSource Discovery Systems Inc.									
BRD-A27693633-001-02-9	BRD-A27693633	N-FORMYLMETHIONYL-LEUCYLPHENYLALANINE	MicroSource Discovery Systems Inc.									
BRD-A27732521-003-02-6	BRD-A27732521	TOLPERISONE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8092 (vasodilator)			
BRD-A27887842-001-02-4	BRD-A27887842	PREDNISOLONE	MicroSource Discovery Systems Inc.	yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)			
BRD-A28856712-003-05-4	BRD-A28856712	Tetrahydrozoline hydrochloride	Prestwick Chemical Inc.	yes			GO:0004936 (activates alpha-adrenergic receptor activity)		UseClass:8113 (cns agent);UseClass:8094 (vasoconstrictor)			
BRD-A28970875-300-02-3	BRD-A28970875	PUROMYCIN HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-A29082194-001-02-4	BRD-A29082194	GITOXIGENIN	MicroSource Discovery Systems Inc.									
BRD-A29260609-003-05-4	BRD-A29260609	Acebutolol hydrochloride	Prestwick Chemical Inc.	yes		GeneID:153 (inhibits ADRB1)	GO:0004939 (inhibits beta-adrenergic receptor activity)					
BRD-A29322418-237-02-4	BRD-A29322418	"CANRENOIC ACID, POTASSIUM SALT"	MicroSource Discovery Systems Inc.									
BRD-A29349577-001-05-7	BRD-A29349577	"Dropropizine (R,S)"	Prestwick Chemical Inc.	yes				MeSH:D003371 (Cough)	UseClass:8085 (anti-tussive)			
BRD-A29371732-001-02-0	BRD-A29371732	FISSINOLIDE	MicroSource Discovery Systems Inc.									
BRD-A29426959-050-05-8	BRD-A29426959	Carbinoxamine maleate salt	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)						
BRD-A29578214-001-02-7	BRD-A29578214	STICTIC ACID	MicroSource Discovery Systems Inc.									
BRD-A29644307-050-05-5	BRD-A29644307	Nomifensine maleate	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)			
BRD-A29731977-001-02-9	BRD-A29731977	HYDROXYPROGESTERONE CAPROATE	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)			
BRD-A29734509-001-03-8	BRD-A29734509	Disopyramide	Prestwick Chemical Inc.	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-A29734509-011-02-9	BRD-A29734509	DISOPYRAMIDE PHOSPHATE	MicroSource Discovery Systems Inc.	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-A30655177-001-04-1	BRD-A30655177	LFM-A13	Biomol International Inc.									
BRD-A30693873-003-03-7	BRD-A30693873	Diperodon hydrochloride	Prestwick Chemical Inc.									
BRD-A30815329-001-03-0	BRD-A30815329	Felodipine	Prestwick Chemical Inc.									
BRD-A31159102-001-01-9	BRD-A31159102	FLUOXETINE	Biomol International Inc.									
BRD-A31159102-003-05-6	BRD-A31159102	Fluoxetine hydrochloride	Prestwick Chemical Inc.									
BRD-A31521121-001-05-8	BRD-A31521121	Methocarbamol	Prestwick Chemical Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A31576716-003-02-6	BRD-A31576716	3-AMINO-beta-PINENE	MicroSource Discovery Systems Inc.									
BRD-A31602150-001-02-7	BRD-A31602150	OBACUNOL	MicroSource Discovery Systems Inc.									
BRD-A32349859-001-02-8	BRD-A32349859	"ANGOLENSIC ACID, METHYL ESTER"	MicroSource Discovery Systems Inc.									
BRD-A32505112-001-02-8	BRD-A32505112	TRANDOLAPRIL	MicroSource Discovery Systems Inc.									
BRD-A32673558-003-02-1	BRD-A32673558	ACECLIDINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8113 (cns agent)			
BRD-A33119430-001-02-2	BRD-A33119430	DEHYDRODIHYDROROTENONE	MicroSource Discovery Systems Inc.									
BRD-A33168282-003-03-2	BRD-A33168282	Sotalol hydrochloride	Prestwick Chemical Inc.									
BRD-A33280134-001-02-1	BRD-A33280134	ETOPOSIDE	MicroSource Discovery Systems Inc.									
BRD-A33447119-001-02-5	BRD-A33447119	OXFENDAZOLE	MicroSource Discovery Systems Inc.									
BRD-A33614871-001-02-8	BRD-A33614871	ESTRADIOL DIACETATE	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)			
BRD-A33711280-311-02-0	BRD-A33711280	Metixene hydrochloride	Prestwick Chemical Inc.									
BRD-A33810106-001-02-9	BRD-A33810106	GITOXIN	MicroSource Discovery Systems Inc.									
BRD-A34145622-003-05-3	BRD-A34145622	Demeclocycline hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-A34255068-001-04-8	BRD-A34255068	Rolipram	Biomol International Inc.									
BRD-A34299591-001-03-4	BRD-A34299591	Budesonide	Prestwick Chemical Inc.									
BRD-A34380114-001-02-2	BRD-A34380114	4'-DEMETHYLEPIPODOPHYLLOTOXIN	MicroSource Discovery Systems Inc.									
BRD-A34774643-003-02-2	BRD-A34774643	ANABASAMINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-A34806832-001-02-7	BRD-A34806832	Proscillaridin A	Prestwick Chemical Inc.									
BRD-A34891365-001-02-4	BRD-A34891365	"1,3-DIDEACETYL-7-DEACETOXY-7-OXOKHIVORIN"	MicroSource Discovery Systems Inc.									
BRD-A34897638-001-02-2	BRD-A34897638	Midecamycin	Prestwick Chemical Inc.									
BRD-A35215253-003-03-4	BRD-A35215253	Lycorine hydrochloride	Prestwick Chemical Inc.									
BRD-A35623999-001-03-2	BRD-A35623999	CGP-37157	Biomol International Inc.	yes			GO:0006816 (inhibits calcium ion transport);GO:0005432 (inhibits calcium:sodium antiporter activity);GO:0006814 (inhibits sodium ion transport);GO:0005245 (inhibits voltage-gated calcium channel activity)					
