siRNA Primer	Gene Identifier	Gene Symbol	siRNA Hit	Phenotype 1	Term Source Accession 1	Ontology Term Name 1	Phenotype 2	Term Source Accession 2	Ontology Term Name 2	Phenotype 3	Term Source Accession 3	Ontology Term Name 3	Phenotype 4	Term Source Accession 4	Ontology Term Name 4	Phenotype 5	Term Source Accession 5	Ontology Term Name 5	Phenotype 6	Term Source Accession 6	Ontology Term Name 6	Phenotype 7	Term Source Accession 7	Ontology Term Name 7	Phenotype 8	Term Source Accession 8	Ontology Term Name 8	Phenotype 9	Term Source Accession 9	Ontology Term Name 9	Phenotype 10	Term Source Accession 10	Ontology Term Name 10	Phenotype 11	Term Source Accession 11	Ontology Term Name 11	Phenotype 12	Term Source Accession 12	Ontology Term Name 12	Phenotype 13	Term Source Accession 13	Ontology Term Name 13	Phenotype 14	Term Source Accession 14	Ontology Term Name 14	Phenotype 15	Term Source Accession 15	Ontology Term Name 15	Phenotype 16	Term Source Accession 16	Ontology Term Name 16	Phenotype 17	Term Source Accession 17	Ontology Term Name 17	Phenotype 18	Term Source Accession 18	Ontology Term Name 18	Phenotype 19	Term Source Accession 19	Ontology Term Name 19	Phenotype 20	Term Source Accession 20	Ontology Term Name 20	Phenotype 21	Term Source Accession 21	Ontology Term Name 21	Phenotype 22	Term Source Accession 22	Ontology Term Name 22	Phenotype 23	Term Source Accession 23	Ontology Term Name 23	Phenotype 24	Term Source Accession 24	Ontology Term Name 24	Phenotype 25	Term Source Accession 25	Ontology Term Name 25	Phenotype 26	Term Source Accession 26	Ontology Term Name 26
DRSC07665	FBgn0003114	plu	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules																					
DRSC07513	FBgn0003140	PpY-55A	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules																					
DRSC16814	FBgn0003205	Ras85D	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																																											
DRSC03599	FBgn0003209	raw	yes																															Increased level of actin	CMPO_0000105	increased number of actin filament																microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																									multiple layers of cells	CMPO_0000282	layered cells in population
DRSC07833	FBgn0003256	rl	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																																											
DRSC07539	FBgn0003274	RpLP2	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC12366	FBgn0003275	RpII18	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16831	FBgn0003276	RpII140	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC19770	FBgn0003321	sbr	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20368	FBgn0003321	sbr	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07677	FBgn0003326	sca	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules																					
DRSC20373	FBgn0003392	shi	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																												decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18835	FBgn0003449	snf	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population										Increased number of actin stress fibres	CMPO_0000289	increased amount of stress fibers																decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass				increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																												loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC13081	FBgn0003600	Su(var)3-9	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																						decreased cell number	CMPO_0000052	decreased cell numbers						
DRSC20388	FBgn0003654	sw	yes																																																	microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype	microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																								
DRSC07706	FBgn0003701	thr	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																		increased DNA area	CMPO_0000140	increased nucleus size				decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC17089	FBgn0003862	trx	yes																disorganised peripheral actin	CMPO_0000274	disorganised cortical actin cytoskeleton																																																												
DRSC12389	FBgn0003882	tub	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC12622	FBgn0003884	alphaTub84B	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules							increased DNA area	CMPO_0000140	increased nucleus size				decreased cell number	CMPO_0000052	decreased cell numbers						
DRSC12623	FBgn0003885	alphaTub84D	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules							increased DNA area	CMPO_0000140	increased nucleus size				decreased cell number	CMPO_0000052	decreased cell numbers						
DRSC16899	FBgn0003886	alphaTub85E	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules							increased DNA area	CMPO_0000140	increased nucleus size				decreased cell number	CMPO_0000052	decreased cell numbers						
DRSC07583	FBgn0003887	betaTub56D	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules							increased DNA area	CMPO_0000140	increased nucleus size				decreased cell number	CMPO_0000052	decreased cell numbers						
DRSC16910	FBgn0003889	betaTub85D	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules							increased DNA area	CMPO_0000140	increased nucleus size				decreased cell number	CMPO_0000052	decreased cell numbers						
DRSC15666	FBgn0003890	betaTub97EF	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules							increased DNA area	CMPO_0000140	increased nucleus size				decreased cell number	CMPO_0000052	decreased cell numbers						
DRSC15667	FBgn0003890	betaTub97EF	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules							increased DNA area	CMPO_0000140	increased nucleus size				decreased cell number	CMPO_0000052	decreased cell numbers						
DRSC00782	FBgn0003941	RpL40	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03421	FBgn0003942	RpS27A	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03504	FBgn0004106	cdc2	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC16921	FBgn0004107	cdc2c	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																												decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass										microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype	microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20382	FBgn0004169	up	yes																												decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC03574	FBgn0004177	mts	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20166	FBgn0004391	shtd	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18710	FBgn0004403	RpS14a	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18711	FBgn0004403	RpS14a	yes																																																																														
DRSC03420	FBgn0004413	RpS26	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
