Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2
BRD-K52662033-001-02-6	BRD-K52662033	LIDOCAINE	Biomol International Inc.	yes			GO:0005272 (inhibits sodium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8082 (anesthetic);UseClass:8090 (anti-arrhythmic)					
BRD-K52662033-003-05-5	BRD-K52662033	Lidocaine hydrochloride	Prestwick Chemical Inc.	yes			GO:0005272 (inhibits sodium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8082 (anesthetic);UseClass:8090 (anti-arrhythmic)					
BRD-K52721684-001-02-2	BRD-K52721684	PCO-400	Biomol International Inc.	yes			GO:0015272 (activates ATP-activated inward rectifier potassium channel activity)							
BRD-K52989797-001-01-1	BRD-K52989797	CLOMIPRAMINE	Biomol International Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)					
BRD-K52989797-003-05-8	BRD-K52989797	Clomipramine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)					
BRD-K53318339-001-05-8	BRD-K53318339	Vinpocetine	Prestwick Chemical Inc.	yes			GO:0004528 (inhibits phosphodiesterase I activity)							
BRD-K53737926-003-05-4	BRD-K53737926	Amitryptiline hydrochloride	Prestwick Chemical Inc.	yes			GO:0001504 (inhibits neurotransmitter uptake)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)					
BRD-K53857191-001-04-5	BRD-K53857191	RISPERIDONE	Biomol International Inc.	yes			GO:0004952 (inhibits dopamine receptor activity);GO:0004993 (inhibits serotonin receptor activity)	MeSH:D001714 (Bipolar Disorder);MeSH:D011618 (Psychotic Disorders);MeSH:D012559 (Schizophrenia)	UseClass:8113 (cns agent)					
BRD-K54142781-001-02-1	BRD-K54142781	CIRAZOLINE	Biomol International Inc.	yes			GO:0004937 (binds alpha1-adrenergic receptor activity);GO:0004938 (binds alpha2-adrenergic receptor activity)							
BRD-K54210043-001-02-0	BRD-K54210043	NS-1619	Biomol International Inc.	yes			GO:0005267 (activates potassium channel activity)							
BRD-K54330070-001-05-5	BRD-K54330070	SB 202190	Biomol International Inc.	yes		GeneID:5600 (inhibits MAPK11);GeneID:1432 (inhibits MAPK14);GeneID:5743 (inhibits PTGS2)	GO:0008339 (inhibits MP kinase activity)							
BRD-K54529596-001-04-0	BRD-K54529596	Captopril	Prestwick Chemical Inc.	yes		GeneID:1636 (inhibits ACE)	GO:0004945 (inhibits angiotensin type II receptor activity)		UseClass:8091 (anti-hypertensive);UseClass:8133 (smooth muscle relaxant)					
BRD-K55191674-236-03-7	BRD-K55191674	Benzylpenicillin sodium	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K55191674-237-02-7	BRD-K55191674	BENZYL PENICILLIN POTASSIUM	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K55468218-001-05-5	BRD-K55468218	Spiperone	Prestwick Chemical Inc.	yes					UseClass:8117 (tranquilizer)					
BRD-K55529781-236-02-0	BRD-K55529781	FUREGRELATE SODIUM	MicroSource Discovery Systems Inc.	yes		GeneID:6916 (inhibits TBXAS1)								
BRD-K55567017-001-02-4	BRD-K55567017	FORMONONETIN	MicroSource Discovery Systems Inc.	yes					UseClass:8137 (anti-oxidant)					
BRD-K55930204-001-02-7	BRD-K55930204	PHENYTOIN	Biomol International Inc.	yes				"MeSH:D004830 (Epilepsy, Tonic-Clonic)"	UseClass:8121 (anti-convulsant)					
BRD-K56077740-001-03-5	BRD-K56077740	8-methoxymethyl-IBMX	Biomol International Inc.	yes		GeneID:5136 (inhibits PDE1A)	GO:0004117 (inhibits calmodulin-dependent cyclic-nucleotide phosphodiesterase activity)							
BRD-K56792340-001-05-8	BRD-K56792340	Ethoxyquin	Prestwick Chemical Inc.	yes			GO:0016887 (inhibits ATPase activity)		UseClass:8137 (anti-oxidant);UseClass:8148 (pesticide)					
BRD-K56940463-001-05-4	BRD-K56940463	Oxethazaine	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)					
BRD-K57033106-048-02-8	BRD-K57033106	TRIPELENNAMINE CITRATE	MicroSource Discovery Systems Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)					
BRD-K57432881-003-05-1	BRD-K57432881	Tiapride hydrochloride	Prestwick Chemical Inc.	yes		GeneID:1813 (inhibits DRD2)		MeSH:D020820 (Dyskinesias);MeSH:D010146 (Pain)	UseClass:8080 (nociception agent);UseClass:8120 (psychotropic agent)					
BRD-K57569181-001-05-1	BRD-K57569181	Pentoxifylline	Prestwick Chemical Inc.	yes	CBPROTID:1000343 (inhibits Phosphodiesterase)				UseClass:8092 (vasodilator)					
BRD-K58736316-001-07-9	BRD-K58736316	Epicatechin-(-)	Prestwick Chemical Inc.	yes				MeSH:D010437 (Peptic Ulcer)	UseClass:8125 (gastrointestinal agent)					
BRD-K59058766-003-04-5	BRD-K59058766	Chlorprothixene hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D011618 (Psychotic Disorders)	UseClass:8072 (anti-histamine);UseClass:8118 (anti-psychotic (neuroleptic))					
BRD-K59197931-001-02-9	BRD-K59197931	NAPROXEN(+)	MicroSource Discovery Systems Inc.	yes				MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)					
BRD-K59574735-001-02-7	BRD-K59574735	Bestatin	Biomol International Inc.	yes			GO:0004177 (inhibits aminopeptidase activity);GO:0004222 (inhibits metalloendopeptidase activity)							
BRD-K59590127-001-02-9	BRD-K59590127	CHLORPROPHAM	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)					
BRD-K59983611-001-05-2	BRD-K59983611	Sulfabenzamide	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K60038276-001-02-5	BRD-K60038276	IRBESARTAN	MicroSource Discovery Systems Inc.	yes		GeneID:185 (inhibits AGTR1)		MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)					
BRD-K60184833-001-03-1	BRD-K60184833	TYRPHOSTIN 46	Biomol International Inc.	yes		GeneID:1956 (inhibits EGFR);GeneID:5594 (inhibits MAPK1);GeneID:5595 (inhibits MAPK3)	GO:0008283 (inhibits cell proliferation);GO:0006468 (inhibits protein phosphorylation)							
BRD-K60302405-001-02-9	BRD-K60302405	alpha-CYANO-4-HYDROXYCINNAMIC ACID	MicroSource Discovery Systems Inc.	yes		GeneID:6566 (inhibits SLC16A1)								
BRD-K60770992-001-01-8	BRD-K60770992	PERGOLIDE METHANESULFONATE	Biomol International Inc.	yes		GeneID:1813 (activates DRD2)		MeSH:D010300 (Parkinson Disease)	UseClass:8114 (neuroprotective agent)					
BRD-K60770992-066-05-2	BRD-K60770992	Pergolide mesylate	Prestwick Chemical Inc.	yes		GeneID:1813 (activates DRD2)		MeSH:D010300 (Parkinson Disease)	UseClass:8114 (neuroprotective agent)					
BRD-K60907894-003-04-5	BRD-K60907894	Adiphenine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8133 (smooth muscle relaxant)					
BRD-K61250553-001-02-9	BRD-K61250553	LOPERAMIDE	Biomol International Inc.	yes		GeneID:4988 (activates OPRM1);GeneID:4985 (binds OPRD1)	GO:0005262 (inhibits calcium channel activity)							
BRD-K61250553-003-05-8	BRD-K61250553	Loperamide hydrochloride	Prestwick Chemical Inc.	yes		GeneID:4988 (activates OPRM1);GeneID:4985 (binds OPRD1)	GO:0005262 (inhibits calcium channel activity)							
BRD-K61269089-001-01-4	BRD-K61269089	DAPHNETIN	MicroSource Discovery Systems Inc.	yes			GO:0016209 (activates antioxidant activity);GO:0004691 (inhibits cAMP-dependent protein kinase activity);GO:0005006 (inhibits epidermal growth factor receptor activity);GO:0004672 (inhibits protein kinase activity);GO:0004697 (inhibits protein kinase C activity)							
BRD-K61463582-001-02-3	BRD-K61463582	3-METHYLCHOLANTHRENE	MicroSource Discovery Systems Inc.	yes					UseClass:8067 (carcinogen)					
BRD-K62363391-001-05-8	BRD-K62363391	Dapsone	Prestwick Chemical Inc.	yes				"MeSH:D007918 (Leprosy);""MeSH:D011020 (Pneumonia, Pneumocystis)"""	UseClass:8103 (anti-infective agent)					
BRD-K63430059-001-06-5	BRD-K63430059	Methoxy-8-psoralen	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D012871 (Skin Diseases);MeSH:D013035 (Spasm)	UseClass:8071 (anti-inflammatory);UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-K63630713-001-05-0	BRD-K63630713	Ethacrynic acid	Prestwick Chemical Inc.	yes	CBPROTID:1000639 (inhibits Glutathione S-transferase)	GeneID:6557 (binds SLC12A1)			UseClass:8153 (diuretic)					
BRD-K63750851-001-06-6	BRD-K63750851	Mycophenolic acid	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D007896 (Leishmaniasis);MeSH:D009369 (Neoplasms);MeSH:D011565 (Psoriasis)	UseClass:8071 (anti-inflammatory);UseClass:8066 (anti-neoplastic);UseClass:8108 (anti-protozoal);UseClass:8076 (anti-psoriatic);UseClass:8070 (immunosuppressive agent)					
BRD-K63861289-001-03-0	BRD-K63861289	MOLSIDOMINE	MicroSource Discovery Systems Inc.	yes				MeSH:D000787 (Angina Pectoris);MeSH:D006973 (Hypertension)	UseClass:8095 (anti-anginal);UseClass:8091 (anti-hypertensive)					
BRD-K64698045-001-02-2	BRD-K64698045	TRIALLATE	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)					
BRD-K64994968-001-03-6	BRD-K64994968	Progesterone	Prestwick Chemical Inc.	yes					UseClass:8141 (hormonal agent)					
BRD-K65275554-001-02-1	BRD-K65275554	N- (9-FLUORENYLMETHOXYCARBONYL)-L-LEUCINE	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-K65508953-001-05-5	BRD-K65508953	Monocrotaline	Prestwick Chemical Inc.	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)					
BRD-K65667145-001-05-8	BRD-K65667145	6-Furfurylaminopurine	Prestwick Chemical Inc.	yes					UseClass:8147 (auxin)					
BRD-K66404838-003-03-8	BRD-K66404838	Nalbuphine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D010146 (Pain)	UseClass:8081 (analgesic)					
BRD-K66416915-300-01-2	BRD-K66416915	3-HYDROXYBENZYLHYDRAZINE DIHYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes		GeneID:1644 (inhibits DDC)								
BRD-K66874953-001-02-7	BRD-K66874953	pifithrin	Biomol International Inc.	yes			GO:0006915 (inhibits apoptosis);GO:0006350 (inhibits transcription)		UseClass:8114 (neuroprotective agent)					
BRD-K67102207-001-02-6	BRD-K67102207	PHENYLBUTYRIC ACID	MicroSource Discovery Systems Inc.	yes			GO:0019213 (inhibits deacetylase activity)							
BRD-K67217586-001-02-3	BRD-K67217586	FENTHION	MicroSource Discovery Systems Inc.	yes					UseClass:8107 (anti-parasitic);UseClass:8149 (insecticide)					
BRD-K67277431-002-03-0	BRD-K67277431	Picotamide monohydrate	Prestwick Chemical Inc.	yes		GeneID:6916 (inhibits TBXAS1)								
BRD-K67511046-003-03-7	BRD-K67511046	Naloxone hydrochloride	Prestwick Chemical Inc.	yes		GeneID:4988 (activates OPRM1)			UseClass:8155 (antidote)					
BRD-K67563174-001-05-1	BRD-K67563174	Acemetacin	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)					
BRD-K67601717-001-02-0	BRD-K67601717	ALMOTRIPTAN	MicroSource Discovery Systems Inc.	yes		GeneID:3351 (activates HTR1B);GeneID:3352 (activates HTR1D)	GO:0007198 (activates inhibition of adenylate cyclase activity by serotonin receptor signaling pathway);GO:0042310 (activates vasoconstriction)	MeSH:D008881 (Migraine Disorders)	UseClass:8094 (vasoconstrictor)					
BRD-K67783091-001-05-5	BRD-K67783091	HALOPERIDOL	Biomol International Inc.	yes	CBPROTID:1000337 (inhibits Potassium channel)	GeneID:1813 (inhibits DRD2);GeneID:2904 (inhibits GRIN2B)	GO:0004972 (inhibits N-methyl-D-aspartate selective glutamate receptor activity)	MeSH:D011618 (Psychotic Disorders)	UseClass:8118 (anti-psychotic (neuroleptic));UseClass:8117 (tranquilizer)					
BRD-K67966701-335-03-5	BRD-K67966701	Lisinopril	Prestwick Chemical Inc.	yes		GeneID:1636 (inhibits ACE)		MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)					
BRD-K68332390-001-02-5	BRD-K68332390	PONALRESTAT	MicroSource Discovery Systems Inc.	yes		GeneID:231 (inhibits AKR1B1)		MeSH:D009422 (Nervous System Diseases)						
BRD-K68336408-003-02-2	BRD-K68336408	AG1478	Biomol International Inc.	yes		GeneID:1956 (inhibits EGFR)								
BRD-K68402494-001-04-7	BRD-K68402494	ML9	Biomol International Inc.	yes			GO:0004697 (inhibits protein kinase C activity)							
BRD-K68553471-003-04-0	BRD-K68553471	Todralazine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)					
BRD-K69195780-001-01-5	BRD-K69195780	NAN-190	Biomol International Inc.	yes		GeneID:3350 (inhibits HTR1A)								
BRD-K69585439-001-01-2	BRD-K69585439	3-HYDROXYMETHYL-beta-CARBOLINE	Biomol International Inc.	yes					UseClass:8155 (antidote)					
BRD-K70281171-001-01-7	BRD-K70281171	U-99194A	Biomol International Inc.	yes		GeneID:1814 (inhibits DRD3)								
BRD-K70778732-003-05-1	BRD-K70778732	Trazodone hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression);MeSH:D006973 (Hypertension)	UseClass:8119 (anti-depressant);UseClass:8091 (anti-hypertensive)					
BRD-K71125014-001-07-3	BRD-K71125014	Sulfadimethoxine	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)						
BRD-K71133585-236-05-2	BRD-K71133585	Sulfaquinoxaline sodium salt	Prestwick Chemical Inc.	yes		GeneID:1728 (inhibits NQO1)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K71198913-001-02-3	BRD-K71198913	2-ARACHIDONOYLGLYCEROL	Biomol International Inc.	yes			GO:0004949 (activates cannabinoid receptor activity)							
BRD-K71671197-001-02-6	BRD-K71671197	PHOSALONE	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)					
BRD-K71726959-001-05-9	BRD-K71726959	N9-Isopropylolomoucine	Biomol International Inc.	yes		GeneID:983 (inhibits CDK1)	GO:0004693 (inhibits cyclin-dependent protein kinase activity)							
BRD-K71799949-001-06-7	BRD-K71799949	Carbamazepine	Prestwick Chemical Inc.	yes				MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant)					
BRD-K72166146-066-02-1	BRD-K72166146	DIHYDROERGOTAMINE MESYLATE	MicroSource Discovery Systems Inc.	yes		GeneID:3352 (activates HTR1D);GeneID:3356 (inhibits HTR2A)		MeSH:D008881 (Migraine Disorders)	UseClass:8094 (vasoconstrictor)					
BRD-K72259270-003-05-8	BRD-K72259270	Dyclonine hydrochloride	Prestwick Chemical Inc.	yes				"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8082 (anesthetic);UseClass:8090 (anti-arrhythmic)					
BRD-K72903603-001-04-6	BRD-K72903603	"Zidovudine, AZT"	Prestwick Chemical Inc.	yes				MeSH:D012192 (Retroviridae Infections)	UseClass:8106 (anti-viral)					
BRD-K73109821-001-05-2	BRD-K73109821	DIAZOXIDE	Biomol International Inc.	yes			GO:0005267 (activates potassium channel activity)	MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)					
BRD-K73303757-001-02-6	BRD-K73303757	BIOCHANIN A	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)					
BRD-K73589401-001-04-6	BRD-K73589401	Corticosterone	Prestwick Chemical Inc.	yes			GO:0006915 (activates apoptosis)							
BRD-K73642618-001-05-9	BRD-K73642618	Bromopride	Prestwick Chemical Inc.	yes		GeneID:1813 (inhibits DRD2)		MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8116 (sedative)					
BRD-K73789395-001-04-0	BRD-K73789395	ZM336372	Biomol International Inc.	yes		GeneID:5600 (inhibits MAPK11)								
BRD-K75089421-001-02-5	BRD-K75089421	PROCAINAMIDE	Biomol International Inc.	yes		GeneID:1786 (inhibits DNMT1)	GO:0006306 (inhibits DNA methylation);GO:0006909 (inhibits phagocytosis)	"MeSH:D001145 (Arrhythmias, Cardiac);MeSH:D018879 (Ventricular Premature Complexes)"	UseClass:8090 (anti-arrhythmic)					
BRD-K75089421-003-05-4	BRD-K75089421	Procainamide hydrochloride	Prestwick Chemical Inc.	yes		GeneID:1786 (inhibits DNMT1)	GO:0006306 (inhibits DNA methylation);GO:0006909 (inhibits phagocytosis)	"MeSH:D001145 (Arrhythmias, Cardiac);MeSH:D018879 (Ventricular Premature Complexes)"	UseClass:8090 (anti-arrhythmic)					
BRD-K75181824-001-02-3	BRD-K75181824	AGGC	Biomol International Inc.	yes			GO:0030041 (inhibits actin filament polymerization);GO:0018350 (inhibits protein esterification)							
BRD-K75466013-001-05-2	BRD-K75466013	Benzocaine	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)					
BRD-K76064317-001-04-0	BRD-K76064317	AG-1296	Biomol International Inc.	yes		GeneID:5159 (inhibits PDGFRB)								
BRD-K76205745-001-02-5	BRD-K76205745	LOSARTAN	MicroSource Discovery Systems Inc.	yes		GeneID:185 (affects AGTR1)								
BRD-K76274772-001-02-7	BRD-K76274772	"MAPP, D-erythro"	Biomol International Inc.	yes		GeneID:427 (inhibits ASAH1);GeneID:54447 (inhibits Asah2);GeneID:56624 (inhibits ASAH2);GeneID:427 (ASAH1)	GO:0006915 (activates apoptosis);GO:0006887 (activates exocytosis);GO:0008283 (inhibits cell proliferation);GO:0017040 (inhibits ceramidase activity);GO:0046514 (inhibits ceramide catabolic process);GO:0045023 (inhibits G0 to G1 transition);GO:0006665 (inhibits sphingolipid metabolic process)							
BRD-K76293260-001-02-6	BRD-K76293260	N-LINOLEOYLGLYCINE	Biomol International Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-K76723084-001-05-9	BRD-K76723084	13-CIS RETINOIC ACID	Biomol International Inc.	yes			GO:0003708 (activates retinoic acid receptor activity)	MeSH:D000152 (Acne Vulgaris);MeSH:D012871 (Skin Diseases)						
BRD-K76805682-001-02-7	BRD-K76805682	SB-415286	Biomol International Inc.	yes		GeneID:2931 (inhibits GSK3A)	GO:0006915 (activates apoptosis)							
BRD-K76810206-001-05-7	BRD-K76810206	Nicergoline	Prestwick Chemical Inc.	yes					UseClass:8102 (anti-coagulant);UseClass:8092 (vasodilator)					
BRD-K76812510-236-05-6	BRD-K76812510	Dipyrone	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8075 (anti-pyretic)					
BRD-K76845197-001-01-3	BRD-K76845197	SULFANITRAN	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K77435797-001-02-4	BRD-K77435797	"1R,9S-HYDRASTINE"	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D006973 (Hypertension);MeSH:D014592 (Uterine Hemorrhage)	UseClass:8104 (anti-bacterial);UseClass:8101 (anti-hemorrhagic);UseClass:8091 (anti-hypertensive);UseClass:8116 (sedative)					
BRD-K77474816-003-05-9	BRD-K77474816	Rauwolscine hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3350 (activates HTR1A);GeneID:150 (inhibits ADRA2A);GeneID:151 (inhibits ADRA2B);GeneID:152 (inhibits ADRA2C);GeneID:29581 (inhibits Htr2b)	GO:0042310 (activates vasoconstriction);GO:0007192 (affects activation of adenylate cyclase activity by serotonin receptor signaling pathway);GO:0004938 (inhibits alpha2-adrenergic receptor activity)							
BRD-K77641333-003-05-7	BRD-K77641333	Naphazoline hydrochloride	Prestwick Chemical Inc.	yes			GO:0004936 (activates alpha-adrenergic receptor activity)		UseClass:8084 (decongestant);UseClass:8094 (vasoconstrictor)					
BRD-K77685744-001-03-6	BRD-K77685744	Acacetin	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D013035 (Spasm)	UseClass:8071 (anti-inflammatory);UseClass:8089 (cardiovascular agent);UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-K77695569-001-05-2	BRD-K77695569	Tiabendazole	Prestwick Chemical Inc.	yes					UseClass:8105 (anti-fungal);UseClass:8109 (anti-helminthic);UseClass:8065 (anti-proliferative);UseClass:8108 (anti-protozoal)					
BRD-K77925998-001-01-3	BRD-K77925998	QUIPAZINE	Biomol International Inc.	yes		GeneID:3356 (activates HTR2A)		MeSH:D003863 (Depression);MeSH:D010300 (Parkinson Disease)	UseClass:8119 (anti-depressant)					
BRD-K77925998-050-02-8	BRD-K77925998	QUIPAZINE MALEATE	MicroSource Discovery Systems Inc.	yes		GeneID:3356 (activates HTR2A)		MeSH:D003863 (Depression);MeSH:D010300 (Parkinson Disease)	UseClass:8119 (anti-depressant)					
BRD-K77925998-332-03-8	BRD-K77925998	Quipazine dimaleate salt	Prestwick Chemical Inc.	yes		GeneID:3356 (activates HTR2A)		MeSH:D003863 (Depression);MeSH:D010300 (Parkinson Disease)	UseClass:8119 (anti-depressant)					
BRD-K78010432-001-05-8	BRD-K78010432	Furosemide	Prestwick Chemical Inc.	yes				MeSH:D001201 (Ascites);MeSH:D005355 (Fibrosis);MeSH:D006501 (Hepatic Encephalopathy);MeSH:D006929 (Hyperaldosteronism);MeSH:D006973 (Hypertension);MeSH:D007008 (Hypokalemia)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)					
BRD-K78113049-001-05-5	BRD-K78113049	Enoxacin	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K78280988-001-02-2	BRD-K78280988	"ANANDAMIDE (20:3,n-6)"	Biomol International Inc.	yes			GO:0004949 (binds cannabinoid receptor activity)							
BRD-K78692225-001-03-9	BRD-K78692225	Leflunomide	Prestwick Chemical Inc.	yes		GeneID:5159 (inhibits PDGFRB)		MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)					
BRD-K78815826-001-05-4	BRD-K78815826	Suxibuzone	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)					
BRD-K79437791-001-02-4	BRD-K79437791	acetyl (N)-s-farnesyl-l-cysteine	Biomol International Inc.	yes			GO:0008168 (inhibits methyltransferase activity)							
BRD-K79711234-001-06-8	BRD-K79711234	Thiamphenicol	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K79759585-001-02-1	BRD-K79759585	SILDENAFIL	MicroSource Discovery Systems Inc.	yes		GeneID:5138 (inhibits PDE2A);GeneID:8654 (inhibits PDE5A)		MeSH:D007172 (Erectile Dysfunction)						
BRD-K80353807-001-06-3	BRD-K80353807	Khellin	Prestwick Chemical Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8100 (cardiac stimulant);UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-K80863915-001-02-9	BRD-K80863915	N-PHENYLANTHRANILIC	Biomol International Inc.	yes			GO:0005254 (inhibits chloride channel activity)							
BRD-K81130846-001-02-6	BRD-K81130846	SALICYLAMIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D001168 (Arthritis);MeSH:D010146 (Pain)	UseClass:8081 (analgesic)					
BRD-K81326768-001-02-4	BRD-K81326768	ZOMEPIRAC SODIUM	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)					
BRD-K81326768-236-03-4	BRD-K81326768	Zomepirac sodium salt	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)					
BRD-K82103381-003-03-7	BRD-K82103381	HYDRALAZINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8092 (vasodilator)					
BRD-K82236108-001-02-3	BRD-K82236108	N-METHYL (-)EPHEDRINE	MicroSource Discovery Systems Inc.	yes				MeSH:D001249 (Asthma)	UseClass:8078 (anti-asthmatic);UseClass:8088 (bronchodilator)					
BRD-K82236179-001-05-0	BRD-K82236179	Dicumarol	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8102 (anti-coagulant)					
BRD-K82255054-001-03-5	BRD-K82255054	PROPOFOL	Biomol International Inc.	yes		GeneID:1135 (inhibits CHRNA2);GeneID:1141 (inhibits CHRNB2)			UseClass:8082 (anesthetic)					
BRD-K82562631-236-02-0	BRD-K82562631	TOLMETIN SODIUM	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-K82795137-001-02-3	BRD-K82795137	LORATADINE	MicroSource Discovery Systems Inc.	yes		GeneID:3269 (inhibits HRH1)		MeSH:D012220 (Rhinitis)						
BRD-K83064458-001-05-7	BRD-K83064458	Etofylline	Prestwick Chemical Inc.	yes			GO:0004104 (inhibits cholinesterase activity);GO:0005267 (inhibits potassium channel activity)		UseClass:8155 (antidote)					
BRD-K83597974-003-05-7	BRD-K83597974	Pargyline hydrochloride	Prestwick Chemical Inc.	yes			GO:0008131 (inhibits primary amine oxidase activity)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)					
BRD-K84175871-003-02-2	BRD-K84175871	PSEUDOEPHEDRINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8094 (vasoconstrictor)					
BRD-K84268861-001-02-1	BRD-K84268861	ETHION	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)					
BRD-K85090592-008-05-2	BRD-K85090592	Pilocarpine nitrate	Prestwick Chemical Inc.	yes		GeneID:1129 (activates CHRM2)	GO:0015464 (activates acetylcholine receptor activity);GO:0004981 (activates muscarinic acetylcholine receptor activity)		UseClass:8134 (miotic)					
BRD-K85119730-001-06-5	BRD-K85119730	TOLBUTAMIDE	Biomol International Inc.	yes			GO:0015272 (inhibits ATP-activated inward rectifier potassium channel activity)	MeSH:D044882 (Glucose Metabolism Disorders)						
BRD-K85383046-001-02-5	BRD-K85383046	IAA-94	Biomol International Inc.	yes			GO:0005254 (inhibits chloride channel activity)							
BRD-K86434416-001-02-7	BRD-K86434416	Deprenyl	Biomol International Inc.	yes		GeneID:4129 (inhibits MAOB)								
